cal,C14,error
12000,10306,18
11995,10294,18
11990,10289,18
11985,10289,18
11980,10296,18
11975,10294,18
11970,10285,18
11965,10277,18
11960,10277,19
11955,10283,19
11950,10281,19
11945,10270,19
11940,10251,19
11935,10231,19
11930,10215,20
11925,10207,20
11920,10206,20
11915,10209,20
11910,10213,20
11905,10217,20
11900,10222,20
11895,10228,19
11890,10229,20
11885,10220,19
11880,10209,21
11875,10202,20
11870,10198,21
11865,10197,22
11860,10199,23
11855,10201,24
11850,10204,24
11845,10206,25
11840,10206,26
11835,10202,27
11830,10195,26
11825,10182,24
11820,10167,21
11815,10150,20
11810,10136,19
11805,10124,21
11800,10119,22
11795,10120,22
11790,10125,22
11785,10133,23
11780,10141,24
11775,10147,25
11770,10149,26
11765,10147,25
11760,10140,24
11755,10131,23
11750,10121,22
11745,10110,22
11740,10101,23
11735,10094,23
11730,10091,23
11725,10090,22
11720,10090,22
11715,10091,23
11710,10091,24
11705,10090,25
11700,10086,25
11695,10078,23
11690,10067,21
11685,10054,21
11680,10047,23
11675,10050,23
11670,10065,22
11665,10084,22
11660,10097,23
11655,10097,22
11650,10085,22
11645,10072,22
11640,10064,21
11635,10063,22
11630,10065,23
11625,10065,23
11620,10061,23
11615,10053,24
11610,10041,25
11605,10029,24
11600,10018,24
11595,10011,25
11590,10010,24
11585,10013,24
11580,10019,24
11575,10025,22
11570,10027,23
11565,10026,22
11560,10025,22
11555,10028,21
11550,10032,22
11545,10035,23
11540,10033,21
11535,10032,21
11530,10036,22
11525,10046,22
11520,10057,22
11515,10062,22
11510,10057,21
11505,10044,21
11500,10030,22
11495,10021,22
11490,10018,23
11485,10018,24
11480,10019,23
11475,10018,22
11470,10016,22
11465,10011,22
11460,10008,23
11455,10007,23
11450,10011,21
11445,10017,21
11440,10021,22
11435,10024,22
11430,10029,23
11425,10037,23
11420,10045,22
11415,10049,22
11410,10043,23
11405,10027,22
11400,10003,23
11395,9977,23
11390,9955,23
11385,9945,24
11380,9951,23
11375,9966,23
11370,9980,26
11365,9987,28
11360,9987,28
11355,9982,27
11350,9975,27
11345,9967,26
11340,9961,24
11335,9957,21
11330,9956,22
11325,9952,23
11320,9945,23
11315,9938,25
11310,9933,26
11305,9932,25
11300,9932,23
11295,9933,24
11290,9935,24
11285,9935,23
11280,9934,21
11275,9928,21
11270,9916,20
11265,9900,19
11260,9888,19
11255,9881,19
11250,9872,21
11245,9857,23
11240,9837,21
11235,9820,21
11230,9809,22
11225,9803,23
11220,9799,24
11215,9794,23
11210,9786,21
11205,9775,22
11200,9759,21
11195,9743,20
11190,9728,20
11185,9718,20
11180,9708,22
11175,9693,23
11170,9680,24
11165,9671,24
11160,9667,24
11155,9664,22
11150,9662,21
11145,9658,21
11140,9655,23
11135,9653,23
11130,9654,25
11125,9656,24
11120,9658,22
11115,9658,22
11110,9653,21
11105,9645,21
11100,9637,22
11095,9631,21
11090,9628,22
11085,9626,21
11080,9623,21
11075,9614,21
11070,9593,20
11065,9566,20
11060,9547,21
11055,9540,23
11050,9542,21
11045,9547,21
11040,9550,21
11035,9558,21
11030,9570,22
11025,9580,22
11020,9588,22
11015,9589,23
11010,9583,24
11005,9571,23
11000,9556,22
10995,9541,22
10990,9530,23
10985,9525,23
10980,9529,22
10975,9540,21
10970,9555,22
10965,9569,22
10960,9578,21
10955,9584,21
10950,9591,22
10945,9601,20
10940,9609,19
10935,9608,19
10930,9609,22
10925,9616,25
10920,9623,27
10915,9627,26
10910,9630,26
10905,9630,25
10900,9629,24
10895,9626,22
10890,9622,23
10885,9619,21
10880,9614,22
10875,9602,23
10870,9586,23
10865,9574,23
10860,9569,22
10855,9573,21
10850,9581,21
10845,9589,20
10840,9595,21
10835,9598,23
10830,9599,22
10825,9597,23
10820,9594,25
10815,9590,25
10810,9587,23
10805,9582,22
10800,9577,22
10795,9572,23
10790,9565,22
10785,9558,22
10780,9550,22
10775,9543,23
10770,9536,24
10765,9529,25
10760,9523,26
10755,9518,27
10750,9512,29
10745,9507,31
10740,9503,33
10735,9498,34
10730,9494,34
10725,9490,32
10720,9486,28
10715,9482,25
10710,9477,23
10705,9471,23
10700,9463,22
10695,9453,21
10690,9443,22
10685,9436,22
10680,9432,22
10675,9431,23
10670,9432,22
10665,9433,22
10660,9429,22
10655,9419,21
10650,9404,21
10645,9389,22
10640,9381,23
10635,9384,22
10630,9392,21
10625,9402,21
10620,9413,23
10615,9424,21
10610,9429,21
10605,9425,22
10600,9418,23
10595,9412,22
10590,9405,22
10585,9395,23
10580,9379,23
10575,9361,23
10570,9345,23
10565,9334,23
10560,9326,24
10555,9319,23
10550,9314,22
10545,9314,23
10540,9319,22
10535,9327,22
10530,9334,22
10525,9336,21
10520,9333,22
10515,9326,24
10510,9314,23
10505,9301,23
10500,9286,23
10495,9272,22
10490,9257,23
10485,9243,23
